ID da composição;Descrição da composição SKU FILHO;Código da composição SKU FILHO;ID do componente;Descrição do componente SKU PAI;Código do componente SKU PAI;Quantidade Unidades Kit
16081577681;Presente Natal Capa Almofada 4 Unidades Cetim Dourado Luxo;05101_DOURADO_4CH3;15812372045;Capa Para Almofada 1 Unidade Cetim Dourado Premiuma;05101-DOURADO;4
15813952717;Presente Natal Capa para Encosto Cadeira Noel Vermelho;CDNATAL05CH4;15921485821;Capa de Encosto de Cadeira - Noel Vermelho 1 Unidade;CDNATAL05;1
15813952240;Presente Natal Capa Sofa Kit 2+3 Lugares Modern Leaf;CD0973CH3;15812371144;Capa de Sofá Elastex - Modern Leaf 3 Lugares (190-230cm);CD0971;1
15813952240;Presente Natal Capa Sofa Kit 2+3 Lugares Modern Leaf;CD0973CH3;15812371143;Capa de Sofá Elastex - Modern Leaf 2 Lugares (145-185cm);CD0970;1
16486946908;Presente Natal Capa Sofá Kit 2+3 Lugares Modern Leaf;CD0973CH3_FBA;15812371144;Capa de Sofá Elastex - Modern Leaf 3 Lugares (190-230cm);CD0971;1
16486946908;Presente Natal Capa Sofá Kit 2+3 Lugares Modern Leaf;CD0973CH3_FBA;15812371143;Capa de Sofá Elastex - Modern Leaf 2 Lugares (145-185cm);CD0970;1
15813946943;Presente Natal Capa Sousplat Malha Black Flower Luxo;CD01000CH3;15812373768;Capa para Sousplat Redondo - Estampado Black Flower 1 Unidade;CD01000;1
15915074541;Presente Natal Cobre Leito de Solteiro 2 Peças Austin Preto;BI660-PRECH3;15892631575;Cobre Leito Dupla Face Austin Preto - Vários Tamanhos Solteiro;BI660-PRE;1
15923368275;Presente Natal Cobre Leito de Solteiro 2 Peças Austin Preto;BI660_PRECH3;15892631575;Cobre Leito Dupla Face Austin Preto - Vários Tamanhos Solteiro;BI660-PRE;1
15849366628;Presente Natal Forro Sofá Canto 21 Elásticos 5,4x3,0m Cinza;PE1444CH3;15835205596;Capa para Sofa de Canto Elasticada - Cinza Cinza;PE1444;1
15936054344;Presente Natal Kit 3 Capa Cadeira Jantar Geo Urbana;CD1158-3CH3;15927050186;Capa Para Cadeira de Jantar - Geo Urbana;CD1158;3
15951854303;Presente Natal Kit 4 Capas Puff Plus Quadrado Cinza/Urbana;CD1176-4CH2;15950101478;Capa para Puff Quadrado - Geo Urbana : (A) 46 a 50 cm, (L) 40x40 cm;CD1175;2
15951854303;Presente Natal Kit 4 Capas Puff Plus Quadrado Cinza/Urbana;CD1176-4CH2;15812370326;Capa para Puff Quadrado - Cinza Escuro Universal: (A) 46 a 50 cm, (L) 40x40 cm;CD0718;2
16145591461;Promoção Capa para Cadeira Anti Gato Kit 3 Matelada Verde;CD1284-3CH1;16130603424;Capa Protetora Cadeira Arranhão Gato Protex Duo - Verde;CD1284;3
16449534159;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;IZ0006-10;15812370606;Capa Para Cadeira de Jantar - Bege;IZ0006;10
16483707068;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;IZ0013-10;15812370611;Capa Para Cadeira de Jantar - Azul Marinho;IZ0013;10
16029721907;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;IZ0011-10;15812370609;Capa Para Cadeira de Jantar - Vermelha;IZ0011;10
16032964744;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;PE0283-10;15812369998;Capa para Cadeira de Jantar - Alstromerias;PE0283;10
16105447186;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;CD0428-10;15812374516;Capa Para Cadeira de Jantar - Modern Leaf;CD0428;10
16114706939;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;IZ0001-10;15812370588;Capa para Cadeira de Jantar - Cinza Escuro;IZ0001;10
16121962030;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;IZ0015-10;15812370613;Capa Para Cadeira de Jantar - Creme;IZ0015;10
16170313524;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;PE0441-10;15812370027;Capa para Cadeira de Jantar - Boho;PE0441;10
16247883760;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;CD0630-10;15812374780;Capa Para Cadeira de Jantar - White Flower;CD0630;10
16535217773;Promoção Kit 10 Capas Para Cadeira De Jantar Malha Premium;PE0035-10;15812373869;Capa Para Cadeira de Jantar - Terracota;PE0035;10
16570579232;Promoção Kit 2 Guardanapos De Tecido Para Mesa Posta 40x40;DE.101.2.2;16295715903;Guardanapo Liso Oxford  - Verde;259_VERDE;2
16512654598;Promoção Kit 4 Capas Para Puff Plus Estampada 40x40 24h;CD1481-2;16408584707;Capa para Puff Quadrado - Sueter -(A) 46 a 50 cm, (L) 40x40 cm;CD1481;4
16519056303;Promoção Kit 4 Capas Para Puff Plus Estampada 40x40 24h;CD1483-1;16408584707;Capa para Puff Quadrado - Sueter -(A) 46 a 50 cm, (L) 40x40 cm;CD1481;2
16519056303;Promoção Kit 4 Capas Para Puff Plus Estampada 40x40 24h;CD1483-1;15812370328;Capa para Puff Quadrado - Preto Universal: (A) 46 a 50 cm, (L) 40x40 cm;CD0720;2
16348932733;Promoção Kit 8 Unid Capa Para Encosto De Natal Estampadas;CD1403-8;16301549289;Capa de Encosto de Cadeira - Pinheiros Natalinos Kit 1;CD1403;8
16496368223;Promoção Kit Capa Para Cadeira Antigato 4 Pçs Matelada Nobre - VIME AVELÃ;CD1416-4;16307900251;Capa Protetora de Cadeira Acolchoada Vime - Avelã Kit 1;CD1406;4
16488035029;Promoção Protetor Braço Suede Ajustável Anti Arranhão 4 Unid;1,83867E+11;16470569281;Capa para Braço de Sofá Suede Confort - Cinza Chumbo - Kit 2;CD1499;2
16492471856;Promoção Protetor Braço Suede Ajustável Anti Arranhão 4 Unid;1,83867E+11;16470569279;Capa para Braço de Sofá Suede Confort - Creme - Kit 2;CD1498;2
16159810926;Proteja o Braço do Sofá com a Capa Antigato Resistente Bege;CD1289CH3;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16182177281;Proteja seu Sofá com Capa 1 Lugar Chocolate Malha Premium;CD1303CH2;16173771465;Capa de Sofá Elastex - Chocolate 1 Lugar (90-140cm);CD1303;1
16190629008;Proteja sua Cadeira Kit 4 Capas Tecido Exclusivo Geo Chumbo;CD1323-4CH1;16176729576;Capa para Cadeira de Jantar - Geo Chumbo;CD1323;4
16190629044;Proteja sua Cadeira Kit 4 Capas Tecido Exclusivo Geo Tabaco;CD1327-4CH1;16186329782;Capa para Cadeira de Jantar - Geo Tabaco;CD1327;4
16190629023;Proteja suas Cadeira com Capa para Cadeira Jantar Malha Geo Chumbo;CD1323CH3;16176729576;Capa para Cadeira de Jantar - Geo Chumbo;CD1323;1
16190629068;Proteja suas Cadeira com Capa para Cadeira Jantar Malha Geo Tabaco;CD1327CH3;16186329782;Capa para Cadeira de Jantar - Geo Tabaco;CD1327;1
